DATE,USAGDPDEFAISMEI
1960-01-01,15.882002016925
1961-01-01,16.0510888493819
1962-01-01,16.2465202037541
1963-01-01,16.4328748215243
1964-01-01,16.6835630487437
1965-01-01,16.9892078411732
1966-01-01,17.4650548212075
1967-01-01,17.9715130023972
1968-01-01,18.7367662491914
1969-01-01,19.6556948053431
1970-01-01,20.6929797955603
1971-01-01,21.7417839092605
1972-01-01,22.6816675199285
1973-01-01,23.9245594878627
1974-01-01,26.0774491028053
1975-01-01,28.492928179549
1976-01-01,30.0609929675146
1977-01-01,31.9287662645568
1978-01-01,34.1745971770996
1979-01-01,37.0098223596601
1980-01-01,40.353072934098
1981-01-01,44.1713161718791
1982-01-01,46.900339782363
1983-01-01,48.7372991048542
1984-01-01,50.4956341710303
1985-01-01,52.0925392919978
1986-01-01,53.1416306398508
1987-01-01,54.455713483206
1988-01-01,56.3765815555002
1989-01-01,58.5867331191673
1990-01-01,60.779841511342
1991-01-01,62.8352681070221
1992-01-01,64.2672290309355
1993-01-01,65.7905699403228
1994-01-01,67.1954869424408
1995-01-01,68.6045104059542
1996-01-01,69.8606308562943
1997-01-01,71.065315437406
1998-01-01,71.8651839694814
1999-01-01,72.8779221514747
2000-01-01,74.5290582744005
2001-01-01,76.2081248683402
2002-01-01,77.3958246537072
2003-01-01,78.9233958496773
2004-01-01,81.0419841552409
2005-01-01,83.5832874508414
2006-01-01,86.1623081111762
2007-01-01,88.4908929406968
2008-01-01,90.1881106586834
2009-01-01,90.7661661619439
2010-01-01,91.8570073276406
2011-01-01,93.7655197824003
2012-01-01,95.5194595349171
2013-01-01,97.1920002815632
2014-01-01,99.0093955002288
2015-01-01,100.0
2016-01-01,101.002191619806
2017-01-01,102.919097734388
2018-01-01,105.377847463744
2019-01-01,107.262793107398
2020-01-01,108.555519638775
2021-01-01,113.066415611118
